version,symbol,t0,aggregate,listing_days,c1,c2,c3,h1_match,r4h,r1d,peak_pct,draw_pct,end_pct,win
pre-v0.1.12,PROMUSDT,2026-04-19T17:21:53.691885,⚪ 信号冲突-观望,458,False,False,True,False,4.13,3.72,17.0,-13.99,8.52,True
pre-v0.1.12,SOONUSDT,2026-04-23T10:34:29.626984,⚪ 信号冲突-观望,334,True,False,True,False,3.88,0.89,13.85,-1.6,13.68,True
pre-v0.1.12,OPGUSDT,2026-04-23T11:57:39.557688,⚪ 信号冲突-观望,0,False,False,False,False,0.48,2.8,9.1,-27.78,-20.86,True
pre-v0.1.12,BBUSDT,2026-04-23T16:19:44.839335,⚪ 信号冲突-观望,709,True,False,True,False,3.2,2.1,31.68,-0.53,6.77,True
v0.1.12,VELVETUSDT,2026-04-23T17:26:23.016350,⚪ 信号冲突-观望,282,True,False,True,False,2.87,0.8,32.43,-1.05,8.85,True
v0.1.12,BBUSDT,2026-04-23T19:36:30.982533,⚪ 信号冲突-观望,709,True,True,True,True,3.54,3.96,26.33,-2.65,0.36,True
v0.1.12,KATUSDT,2026-04-23T19:46:56.510418,🟢 弱做多,52,True,True,False,False,2.44,7.92,73.78,-7.35,63.75,True
v0.1.12,BSBUSDT,2026-04-23T20:39:15.521260,⚪ 信号冲突-观望,29,True,False,True,False,0.86,0.26,52.19,-5.98,24.39,True
v0.1.12,KATUSDT,2026-04-23T20:49:42.768275,⚪ 信号冲突-观望,52,True,True,True,True,3.3,4.08,75.0,-6.7,63.5,True
v0.1.12,MOVRUSDT,2026-04-23T21:00:13.616649,⚪ 信号冲突-观望,849,True,False,True,False,1.7,1.03,100.96,-0.6,39.68,True
v0.1.12,KATUSDT,2026-04-23T21:52:17.245684,⚪ 信号冲突-观望,52,False,True,False,False,1.65,4.08,85.19,-1.06,72.59,True
v0.1.12,BSBUSDT,2026-04-23T22:39:04.237341,⚪ 信号冲突-观望,29,False,False,True,False,1.03,0.67,48.35,-0.83,39.33,True
v0.1.12,B3USDT,2026-04-23T23:15:34.159434,⚪ 信号冲突-观望,434,False,False,True,False,3.38,0.6,2.22,-14.19,-11.11,False
v0.1.12,MOVRUSDT,2026-04-23T23:20:47.717789,⚪ 信号冲突-观望,849,True,True,True,True,1.75,1.31,98.69,-1.25,38.52,True
v0.1.12,BOBUSDT,2026-04-23T23:31:13.027100,⚪ 信号冲突-观望,153,False,False,True,False,3.19,0.44,1.34,-13.07,-9.23,False
v0.1.12,DODOXUSDT,2026-04-23T23:41:42.195625,⚪ 信号冲突-观望,989,True,False,True,False,2.34,2.43,26.95,-1.27,10.27,True
v0.1.12,DEGENUSDT,2026-04-23T23:52:11.913314,⚪ 信号冲突-观望,524,False,False,False,False,2.5,9.87,1.42,-21.8,-10.37,False
