mode,tp1,frac,trail,act,E,med,win%,worst,best,total,stop,trail_n,tp1_n,end
tp1_only,0.5,1.0,0.0,0.0,14.85,15.77,100.0,0.18,25.0,282.07,0,0,9,10
pure_trail,0.0,0.0,0.2,0.1,14.59,15.77,95.0,0.0,35.25,277.21,0,8,0,11
pure_trail,0.0,0.0,0.2,0.15,14.59,15.77,95.0,0.0,35.25,277.21,0,8,0,11
pure_trail,0.0,0.0,0.2,0.2,14.59,15.77,95.0,0.0,35.25,277.21,0,8,0,11
tp1_only,0.5,0.7,0.0,0.0,14.59,15.77,100.0,0.18,28.38,277.16,0,0,0,19
tp1_only,0.5,0.5,0.0,0.0,14.42,15.77,100.0,0.18,30.63,273.89,0,0,0,19
tp1_only,0.5,0.3,0.0,0.0,14.24,15.77,100.0,0.18,32.89,270.61,0,0,0,19
bare_hold,0.0,0.0,0.0,0.0,13.98,15.24,100.0,0.18,36.27,265.7,0,0,0,19
pure_trail,0.0,0.0,0.2,0.05,13.52,15.24,84.0,0.0,35.25,256.82,0,10,0,9
pure_trail,0.0,0.0,0.15,0.1,12.84,8.17,100.0,1.74,34.45,243.99,0,17,0,2
pure_trail,0.0,0.0,0.15,0.15,12.84,8.17,100.0,1.74,34.45,243.99,0,17,0,2
pure_trail,0.0,0.0,0.15,0.2,12.84,8.17,100.0,1.74,34.45,243.99,0,17,0,2
tp1_only,0.3,0.3,0.0,0.0,12.83,15.17,100.0,0.18,29.89,243.74,0,0,0,19
tp1_only,0.2,0.3,0.0,0.0,12.66,13.67,100.0,1.86,28.39,240.55,0,0,0,19
pure_trail,0.0,0.0,0.15,0.05,12.46,8.17,89.0,0.0,34.45,236.77,0,18,0,1
tp1_only,0.3,0.5,0.0,0.0,12.06,15.12,100.0,0.18,25.63,229.1,0,0,0,19
tp1_only,0.15,0.3,0.0,0.0,11.95,12.92,100.0,1.86,27.64,227.05,0,0,0,19
tp1_trail,0.2,0.3,0.15,0.0,11.86,8.72,100.0,1.86,27.11,225.35,0,17,0,2
tp1_only,0.2,0.5,0.0,0.0,11.78,12.62,100.0,1.86,23.13,223.78,0,0,0,19
tp1_only,0.3,0.7,0.0,0.0,11.29,15.07,100.0,0.18,21.38,214.46,0,0,0,19
tp1_only,0.1,0.3,0.0,0.0,11.24,12.17,100.0,1.63,26.89,213.55,0,0,0,19
tp1_trail,0.2,0.5,0.15,0.0,11.21,9.08,100.0,1.86,22.22,212.92,0,17,0,2
